Chinese,Pinyin,English
听力,tīng lì,hearing; aural comprehension
听众,tīng zhòng,audience; listeners
停止,tíng zhǐ,stop; cease; suspend; call off; halt
通常,tōngcháng,usually
通信,tōng xìn,communicate; correspond
同意,tóngyì,Agree
痛（形）,tòng,sore; painful; sad
痛苦,tòngkǔ,Pain
头（形）,tóu,lead; head
头脑,tóu nǎo,mind; brain
突出,tūchū,prominent
突然,tūrán,suddenly
图,tú,picture; chart; drawing; scheme; intention
图画,tú huà,drawing; picture; painting
土（名）,tǔ,soil; earth; land; ground
团,tuán,group
团结,tuánjié,Unite
团体,tuántǐ,group
推动,tuī dòng,promote; push forward; give impetus to
推广,tuīguǎng,Extension
推进,tuī jìn,advance; carry forward; push on; give impetus to
推开,tuī kāi,push away
退,tuì,retreat
退出,tuì chū,drop out; quit; withdraw
退休,tuìxiū,retire
外交,wàijiāo,diplomacy
外面,wài miàn,outside; outdoors; outward appearance
外文,wài wén,foreign language
完美,wánměi,perfect
完善,wánshàn,"perfect, consummate"
完整,wánzhěng,complete
玩具,wánjù,Toys
往往,wǎngwǎng,Often
危害,wēihài,Harm
危险,wēixiǎn,danger
为（动）,wéi,act as; become; be; mean
为（介）,wèi,(preposition)
围,wéi,enclose; surround; circle
伟大,wěidà,great
卫生,wèi shēng,hygiene; health; sanitation
卫生间,wèishēngjiān,toilet
为了,wèile,in order to
温暖,wēnnuǎn,warm
文化,wénhuà,Culture
文件,wénjiàn,file
文明,wénmíng,civilization
文学,wénxué,literature
文章,wénzhāng,Article
文字,wénzì,"writing, character"
握手,wòshǒu,Handshake
屋子,wūzi,House
武器,wǔqì,arms
武术,wǔshù,A martial art
舞台,wǔ tái,stage; arena
西部,xī bù,west
希望,xīwàng,hope
系,xì,department
下来,xià lái,come down; get down
下面,xià miàn,below; under; next
下去,xià qù,go down; descend; go on; continue
先进,xiānjìn,advanced
显得,xiǎnde,Appear
显然,xiǎnrán,Obviously
显示,xiǎnshì,display
现场,xiànchǎng,scene
现代,xiàndài,modern
现金,xiànjīn,cash
现实,xiànshí,reality
现象,xiànxiàng,phenomenon
线,xiàn,thread; string; wire; line; route
相比,xiāng bǐ,compare; compare to
相当,xiāngdāng,Quite
相关,xiāngguān,correlate
相互,xiāng hù,mutual; reciprocal; each other
相似,xiāngsì,Be similar
香,xiāng,fragrant
香蕉,xiāngjiāo,Banana
消费,xiāofèi,consumption
消失,xiāoshī,disappear
消息,xiāoxi,message
效果,xiàoguǒ,Effect
写作,xiězuò,writing
血,xuè,blood
心,xīn,heart; feeling; centre; core
信（动）,xìn,believe; trust
信封,xìnfēng,envelope
信任,xìnrèn,trust
行李,xíng lǐ,luggage; baggage
形成,xíngchéng,formation
形式,xíngshì,form
形象,xíngxiàng,image
形状,xíngzhuàng,shape
幸福,xìngfú,happiness
幸运,xìngyùn,Lucky 
性（积极性）,xìng （jī jí xìng）,as a suffix (positivity)
性别,xìngbié,Gender
性格,xìnggé,character
修,xiū,repair; build; embellish; study
修改,xiūgǎi,modify
需求,xūqiú,demand
需要,xūyào,Need
宣布,xuānbù,Announce
宣传,xuānchuán,Propaganda
选手,xuǎnshǒu,Player
学费,xué fèi,tuition fee; tuition; school fee
训练,xùnliàn,train
压,yā,press; push; keep under control; bear down
压力,yālì,pressure
烟,yān,smoke; tobacco; be irritated by smoke
眼前,yǎn qián,now; at the moment; before one’s eyes
演,yǎn,play; act; perform
演唱,yǎn chàng,sing
演唱会,yǎn chàng huì,concert
演出,yǎnchū,show
演员,yǎnyuán,"performer, actor"
羊,yáng,sheep
阳光,yángguāng,Sunshine
要是,yàoshi,If
衣架,yī jià,hanger; clothes stand; clothes tree
一切,yíqiè,everything
已,yǐ,already; afterwards
以来,yǐlái,Since
一方面,yì fāng miàn,on the one hand
艺术,yìshù,Art
意外,yìwài,Accident
意义,yìyì,Significance
因此,yīncǐ,therefore
银,yín,silver
银牌,yín pái,silver medal
印象,yìnxiàng,impression
应当,yīng dāng,should; ought to
迎接,yíngjiē,"meet, pick, welcome"
营养,yíngyǎng,Nutrition
赢,yíng,win
影视,yǐng shì,film and television
应用,yìngyòng,application
优点,yōudiǎn,Advantage
优势,yōushì,advantage
由,yóu,from
由于,yóuyú,Because
邮件,yóu jiàn,mail; post; postal matter
邮票,yóu piào,postage stamp; stamp
邮箱,yóu xiāng,postbox; mailbox
游,yóu,swim; wander; travel; tour
游戏,yóuxì,Game
游泳,yóuyǒng,Swimming
有的是,yǒu de shì,have plenty of; there’s no lack of
有利,yǒulì,favourable; beneficial
有效,yǒu xiào,effective; valid
预报,yùbào,prediction
预防,yùfáng,Prevention
预计,yù jì,expected; estimate
预习,yùxí,Preview
员（服务员）,yuán （fú wù yuán）,a person engaged in some field of activity (waiter; waitress; server)
员工,yuángōng,employee
愿望,yuànwàng,desire
约,yuē,appointment; agreement; arrange; restrict
乐队,yuè duì,orchestra; band
运输,yùnshū,transport
杂志,zázhì,Magazine
早已,zǎo yǐ,long ago; for a long time
造,zào,make; build; create; produce
造成,zàochéng,cause
责任,zérèn,responsibility
增加,zēngjiā,increase
增长,zēng zhǎng,increase; grow
展开,zhǎnkāi,Open
张,zhāng,Zhang
照,zhào,reflect
者（志愿者）,zhě （zhì yuàn zhě）,suffix (volunteer)
真实,zhēnshí,real
争,zhēng,contend; dispute; fight; strive; vie
争取,zhēngqǔ,strive for
整,zhěng,whole; all; entire; complete
整个,zhěnggè,Whole
整理,zhěnglǐ,Arrangement
整齐,zhěngqí,neat
整体,zhěngtǐ,Whole
整天,zhěng tiān,all day long
整整,zhěng zhěng,whole; full
正（形）,zhèng,straight; upright; positive; correct; main
正式,zhèngshì,formal
证,zhèng,certificate; proof
证件,zhèngjiàn,Certificates
证据,zhèngjù,evidence
证明,zhèngmíng,Prove
支（量）,zhī,(measure word)
支持,zhīchí,Support
支付,zhī fù,pay money; defray
只,zhī,single; lonely
直,zhí,straight
直播,zhíbō,on live
直到,zhí dào,until
值,zhí,value; be worth
值得,zhíde,Worth
职工,zhí gōng,staff; worker
职业,zhíyè,Occupation
只好,zhǐhǎo,have to
只是,zhǐ shì,merely; only; just
只有,zhǐ yǒu,only
指,zhǐ,finger
指出,zhǐ chū,point out; indicate
指导,zhǐdǎo,guidance
至今,zhìjīn,so far
至少,zhìshǎo,at least
志愿,zhì yuàn,volunteer; aspiration; wish
志愿者,zhìyuànzhě,Volunteer
制定,zhìdìng,Formulate
制度,zhìdù,system
制造,zhìzào,Manufacture
制作,zhìzuò,Make
中部,zhōng bù,central section; middle part
中华民族,zhōng huá mín zú,Chinese nation
终于,zhōngyú,finally
钟,zhōng,bell; clock; call bell; time
种,zhǒng,species
种子,zhǒngzi,seed
重大,zhòngdà,significant
周围,zhōuwéi,around
猪,zhū,pig
主持,zhǔchí,Host
主动,zhǔdòng,active
主任,zhǔrèn,Headmaster
主意,zhǔyi,idea
主张,zhǔzhāng,opinion
注意,zhùyì,Be careful
祝,zhù,express good wishes; wish
抓,zhuā,grab
抓住,zhuā zhù,catch; catch hold of; grip; capture
专家,zhuānjiā,expert
专门,zhuānmén,specialized
专题,zhuāntí,special collection
专业,zhuānyè,major
转,zhuàn,turn
转变,zhuǎnbiàn,change
状况,zhuàngkuàng,status
状态,zhuàngtài,state
追,zhuī,run after
准,zhǔn,follow; permit; allow; standard
资格,zīgé,Qualifications
资金,zījīn,capital
子女,zǐ nǚ,child; sons and daughters
自从,zìcóng,Since
自动,zìdòng,automatic
自觉,zìjué,Conscious
自然,zìrán,natural
自身,zì shēn,oneself; self
自主,zìzhǔ,Autonomy
总,zǒng,always; consistently
总结,zǒngjié,summary
总是,zǒngshì,always
足够,zú gòu,enough; ample; sufficient
足球,zú qiú,soccer; football
组合,zǔhé,combination
左右,zuǒyòu,About
作品,zuòpǐn,works
作者,zuòzhě,author
